id,kind,symbol,name,legacy_symbol,aliases,price,key_item,description_group,description_label,description_text,use_handler,party_menu,close_menu,vending_price,guard_drink
0x00,item,NO_ITEM,,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
0x01,item,MASTER_BALL,MASTER BALL,,,0,false,1,MasterBallDescription,Catch wild #MON\nwithout fail.,ItemUseBall,false,false,,false
0x02,item,ULTRA_BALL,ULTRA BALL,,,900,false,2,UltraBallDescription,Better catch chance\nthan a GREAT BALL.,ItemUseBall,false,false,,false
0x03,item,GREAT_BALL,GREAT BALL,,,450,false,3,GreatBallDescription,Better catch chance\nthan a # BALL.,ItemUseBall,false,false,,false
0x04,item,POKE_BALL,POKé BALL,,,150,false,4,PokeBallDescription,Tool used to catch\nwild #MON.,ItemUseBall,false,false,,false
0x05,item,UNUSED_05,TOWN MAP,TOWN_MAP,,0,true,5,TownMapDescription,You should not see\nthis in-game.,ItemUseTownMap,false,false,,false
0x06,item,BICYCLE,BICYCLE,,,0,true,6,BicycleDescription,The fastest way to\ntravel!,ItemUseBicycle,false,false,,false
0x07,item,SURFBOARD,SURFBOARD,,,0,true,7,SurfboardDescription,Allows you to surf\non water.,ItemUseSurfboard,false,false,,false
0x08,item,SAFARI_BALL,SAFARI BALL,,,1000,true,8,SafariBallDescription,A ball for use in\nthe SAFARI ZONE.,ItemUseBall,false,false,,false
0x09,item,POKEDEX,POKéDEX,,,0,true,9,PokedexDescription,High-tech #MON\nencyclopedia.,ItemUsePokedex,false,false,,false
0x0A,item,MOON_STONE,MOON STONE,,,4000,false,10,MoonStoneDescription,Evolves certain\nkinds of #MON.,ItemUseEvoStone,true,false,,false
0x0B,item,UNUSED_0B,UNUSED 0B,ANTIDOTE,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x0C,item,UNUSED_0C,UNUSED 0C,BURN_HEAL,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x0D,item,UNUSED_0D,UNUSED 0D,ICE_HEAL,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x0E,item,UNUSED_0E,UNUSED 0E,AWAKENING,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x0F,item,UNUSED_0F,UNUSED 0F,PARLYZ_HEAL,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x10,item,FULL_RESTORE,FULL RESTORE,,,3000,false,11,FullRestoreDescription,Fully restores HP\nand status.,ItemUseMedicine,true,false,,false
0x11,item,MAX_POTION,MAX POTION,,,2500,false,12,MaxPotionDescription,Fully restores HP\nof a #MON.,ItemUseMedicine,true,false,,false
0x12,item,HYPER_POTION,HYPER POTION,,,1000,false,13,HyperPotionDescription,Restores up to 200\nHP of a #MON.,ItemUseMedicine,true,false,,false
0x13,item,SUPER_POTION,SUPER POTION,,,500,false,14,SuperPotionDescription,Restores up to 100\nHP of a #MON.,ItemUseMedicine,true,false,,false
0x14,item,POTION,POTION,,,250,false,15,PotionDescription,Restores up to 50\nHP of a #MON.,ItemUseMedicine,true,false,,false
0x15,item,BOULDERBADGE,BOULDERBADGE,,SAFARI_BAIT,0,true,16,BoulderBadgeDescription,A badge received\nfrom a GYM LEADER.,ItemUseBait,false,false,,false
0x16,item,CASCADEBADGE,CASCADEBADGE,,SAFARI_ROCK,0,true,16,CascadeBadgeDescription,A badge received\nfrom a GYM LEADER.,ItemUseRock,false,false,,false
0x17,item,THUNDERBADGE,THUNDERBADGE,,,0,true,16,ThunderBadgeDescription,A badge received\nfrom a GYM LEADER.,UnusableItem,false,false,,false
0x18,item,RAINBOWBADGE,RAINBOWBADGE,,,0,true,16,RainbowBadgeDescription,A badge received\nfrom a GYM LEADER.,UnusableItem,false,false,,false
0x19,item,SOULBADGE,SOULBADGE,,,0,true,16,SoulBadgeDescription,A badge received\nfrom a GYM LEADER.,UnusableItem,false,false,,false
0x1A,item,MARSHBADGE,MARSHBADGE,,,0,true,16,MarshBadgeDescription,A badge received\nfrom a GYM LEADER.,UnusableItem,false,false,,false
0x1B,item,VOLCANOBADGE,VOLCANOBADGE,,,0,true,16,VolcanoBadgeDescription,A badge received\nfrom a GYM LEADER.,UnusableItem,false,false,,false
0x1C,item,EARTHBADGE,EARTHBADGE,,,0,true,16,EarthBadgeDescription,A badge received\nfrom a GYM LEADER.,UnusableItem,false,false,,false
0x1D,item,ESCAPE_ROPE,ESCAPE ROPE,,,275,false,17,EscapeRopeDescription,Rope that enables\nescape from caves.,ItemUseEscapeRope,false,true,,false
0x1E,item,REPEL,REPEL,,,500,false,18,RepelDescription,Repel weak #MON\nfor 250 steps.,ItemUseRepel,false,false,,false
0x1F,item,OLD_AMBER,OLD AMBER,,,15000,false,19,OldAmberDescription,Old resin with DNA\nfrom a #MON.,UnusableItem,false,false,,false
0x20,item,FIRE_STONE,FIRE STONE,,,2000,false,10,FireStoneDescription,Evolves certain\nkinds of #MON.,ItemUseEvoStone,true,false,,false
0x21,item,THUNDER_STONE,THUNDERSTONE,,,2000,false,10,ThunderStoneDescription,Evolves certain\nkinds of #MON.,ItemUseEvoStone,true,false,,false
0x22,item,WATER_STONE,WATER STONE,,,2000,false,10,WaterStoneDescription,Evolves certain\nkinds of #MON.,ItemUseEvoStone,true,false,,false
0x23,item,HP_UP,HP UP,,,5000,false,20,HPUpDescription,Raises a #MON's\nmaximum HP.,ItemUseVitamin,true,false,,false
0x24,item,PROTEIN,PROTEIN,,,5000,false,21,ProteinDescription,Raises a #MON's\nAttack stat.,ItemUseVitamin,true,false,,false
0x25,item,IRON,IRON,,,5000,false,22,IronDescription,Raises a #MON's\nDefense stat.,ItemUseVitamin,true,false,,false
0x26,item,CARBOS,CARBOS,,,5000,false,23,CarbosDescription,Raises a #MON's\nSpeed stat.,ItemUseVitamin,true,false,,false
0x27,item,CALCIUM,CALCIUM,,,5000,false,24,CalciumDescription,Raises a #MON's\nSpecial stat.,ItemUseVitamin,true,false,,false
0x28,item,RARE_CANDY,RARE CANDY,,,7500,false,25,RareCandyDescription,Raises a #MON's\nlevel by one.,ItemUseVitamin,true,false,,false
0x29,item,DOME_FOSSIL,DOME FOSSIL,,,10000,false,26,DomeFossilDescription,Fossilized remains\nof a #MON.,UnusableItem,false,false,,false
0x2A,item,HELIX_FOSSIL,HELIX FOSSIL,,,10000,false,26,HelixFossilDescription,Fossilized remains\nof a #MON.,UnusableItem,false,false,,false
0x2B,item,UNUSED_2B,UNUSED 2B,SECRET_KEY,,0,true,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x2C,item,ANCIENT_HAIR,ANCIENT HAIR,,,0,true,27,AncientHairDescription,Ancient hair from\na rare #MON.,UnusableItem,false,false,,false
0x2D,item,BIKE_VOUCHER,BIKE VOUCHER,,,0,true,28,BikeVoucherDescription,Exchange for free\nBICYCLE.,UnusableItem,false,false,,false
