item_id,kind,number,move,name,price
0x62,HM,1,CUT,<HM>01 CUT,0
0x63,HM,2,FLY,<HM>02 FLY,0
0x64,HM,3,SURF,<HM>03 SURF,0
0x65,HM,4,STRENGTH,<HM>04 STRENGTH,0
0x66,HM,5,FLASH,<HM>05 FLASH,0
0x67,TM,1,MEGA_PUNCH,<TM>01 MEGAPUNCH,2000
0x68,TM,2,RAZOR_WIND,<TM>02 RAZORWIND,3000
0x69,TM,3,SWORDS_DANCE,<TM>03 SW. DANCE,2000
0x6A,TM,4,HEADBUTT,<TM>04 HEADBUTT,2000
0x6B,TM,5,TELEPORT,<TM>05 TELEPORT,1000
0x6C,TM,6,TOXIC,<TM>06 TOXIC,5000
0x6D,TM,7,FIRE_PUNCH,<TM>07 F-PUNCH,3000
0x6E,TM,8,ICE_PUNCH,<TM>08 I-PUNCH,3000
0x6F,TM,9,THUNDERPUNCH,<TM>09 T-PUNCH,3000
0x70,TM,10,RAZOR_LEAF,<TM>10 RAZORLEAF,4000
0x71,TM,11,BUBBLEBEAM,<TM>11 BUBBLBEAM,2000
0x72,TM,12,DOUBLE_KICK,<TM>12 DBL KICK,2000
0x73,TM,13,ICE_BEAM,<TM>13 ICE BEAM,7000
0x74,TM,14,THUNDER_WAVE,<TM>14 T-WAVE,2000
0x75,TM,15,HYPER_BEAM,<TM>15 HYPERBEAM,5000
0x76,TM,16,LIGHT_SCREEN,<TM>16 L. SCREEN,3000
0x77,TM,17,REFLECT,<TM>17 REFLECT,3000
0x78,TM,18,AGILITY,<TM>18 AGILITY,3000
0x79,TM,19,SUBMISSION,<TM>19 SUBMISSON,5000
0x7A,TM,20,CRUNCH,<TM>20 CRUNCH,5000
0x7B,TM,21,MEGA_DRAIN,<TM>21 MEGADRAIN,5000
0x7C,TM,22,SOLARBEAM,<TM>22 SOLARBEAM,6000
0x7D,TM,23,DRAGONBREATH,<TM>23 D. BREATH,5000
0x7E,TM,24,THUNDERBOLT,<TM>24 T-BOLT,7000
0x7F,TM,25,WATERFALL,<TM>25 WATERFALL,4000
0x80,TM,26,EARTHQUAKE,<TM>26 E-QUAKE,8000
0x81,TM,27,FOCUS_ENERGY,<TM>27 F. ENERGY,1000
0x82,TM,28,DIG,<TM>28 DIG,2000
0x83,TM,29,PSYCHIC_M,<TM>29 PSYCHIC,5000
0x84,TM,30,PSYWAVE,<TM>30 PSYWAVE,2000
0x85,TM,31,MIMIC,<TM>31 MIMIC,1000
0x86,TM,32,DOUBLE_DASH,<TM>32 DBL DASH,3000
0x87,TM,33,SHADOW_TEAR,<TM>33 SHDW TEAR,5000
0x88,TM,34,BIDE,<TM>34 BIDE,2000
0x89,TM,35,FLAMETHROWER,<TM>35 FLAMETHRW,7000
0x8A,TM,36,SLUDGE,<TM>36 SLUDGE,4000
0x8B,TM,37,BUG_BUZZ,<TM>37 BUG BUZZ,5000
0x8C,TM,38,FLARE_RUSH,<TM>38 FLARERUSH,4000
0x8D,TM,39,SWIFT,<TM>39 SWIFT,3000
0x8E,TM,40,SKULL_BASH,<TM>40 SKULLBASH,5000
0x8F,TM,41,HYPNOSIS,<TM>41 HYPNOSIS,5000
0x90,TM,42,DREAM_EATER,<TM>42 DRM EATER,3000
0x91,TM,43,VENOM_STRIKE,<TM>43 V. STRIKE,5000
0x92,TM,44,REST,<TM>44 REST,3000
0x93,TM,45,MOONBLAST,<TM>45 MOONBLAST,6000
0x94,TM,46,PAY_DAY,<TM>46 PAY DAY,1000
0x95,TM,47,HEAVY_SMASH,<TM>47 HVY SMASH,3000
0x96,TM,48,ROCK_SLIDE,<TM>48 ROCKSLIDE,3000
0x97,TM,49,TWIN_SLICE,<TM>49 TWN SLICE,2000
0x98,TM,50,SUBSTITUTE,<TM>50 SUBST.,1000
0x99,TM,51,METRONOME,<TM>51 METRONOME,5000
