id,constant,name,animation,animation_routine,effect,power,type,accuracy,pp,high_crit,sfx,sfx_pitch_mod,sfx_tempo_mod,description_1,description_2
1,POUND,POUND,1,PoundAnim,NO_ADDITIONAL_EFFECT,40,NORMAL,100,35,false,SFX_POUND,$00,$80,Pounds foe with a,fore-limb.
2,KARATE_CHOP,KARATE CHOP,2,KarateChopAnim,NO_ADDITIONAL_EFFECT,50,FIGHTING,100,20,true,SFX_BATTLE_0C,$10,$80,Hits foe with arm.,High crit chance.
3,DOUBLESLAP,DOUBLESLAP,3,DoubleSlapAnim,ATTACK_TWICE_EFFECT,35,NORMAL,100,20,false,SFX_DOUBLESLAP,$00,$80,Slap at the foe.,Hits twice.
4,DRAGONBREATH,DRAGONBREATH,4,DragonBreathAnim,PARALYZE_SIDE_EFFECT2,60,DRAGON,100,20,false,SFX_BATTLE_29,$f0,$80,Big breath attack.,May paralyze foe.
5,MEGA_PUNCH,MEGA PUNCH,5,MegaPunchAnim,NO_ADDITIONAL_EFFECT,60,NORMAL,100,20,false,SFX_BATTLE_0D,$00,$40,Hits the foe with,a powerful punch.
6,PAY_DAY,PAY DAY,6,PayDayAnim,PAY_DAY_EFFECT,50,DARK,100,20,false,SFX_SILPH_SCOPE,$00,$ff,Conjures coins to,pelt the foe.
7,FIRE_PUNCH,FIRE PUNCH,7,FirePunchAnim,BURN_SIDE_EFFECT1,75,FIRE,100,15,false,SFX_BATTLE_0D,$10,$60,A fiery punch.,May burn foe.
8,ICE_PUNCH,ICE PUNCH,8,IcePunchAnim,FREEZE_SIDE_EFFECT,75,ICE,100,15,false,SFX_BATTLE_0D,$20,$80,A freezing punch.,May freeze foe.
9,THUNDERPUNCH,THUNDERPUNCH,9,ThunderPunchAnim,PARALYZE_SIDE_EFFECT1,75,ELECTRIC,100,20,false,SFX_BATTLE_0D,$00,$a0,A shocking punch.,May paralyze foe.
10,SCRATCH,SCRATCH,10,ScratchAnim,NO_ADDITIONAL_EFFECT,40,NORMAL,100,35,false,SFX_DAMAGE,$00,$80,Scratches foe with,claws or talons.
11,CRUSH,CRUSH,11,CrushAnim,NO_ADDITIONAL_EFFECT,50,STEEL,100,25,false,SFX_BATTLE_0F,$20,$40,Crushes foe in an,iron-like grip.
12,GUILLOTINE,GUILLOTINE,12,GuillotineAnim,CHARGE_EFFECT,200,STEEL,95,5,false,SFX_BATTLE_0F,$00,$80,Charge a strike to,devastate the foe.
13,RAZOR_WIND,RAZOR WIND,13,RazorWindAnim,NO_ADDITIONAL_EFFECT,90,FLYING,100,15,false,SFX_BATTLE_0E,$00,$a0,Cut the foe with a,razor-sharp wind.
14,SWORDS_DANCE,SWORDS DANCE,14,SwordsDanceAnim,ATTACK_UP2_EFFECT,0,MYSTERY,100,30,false,SFX_NOT_VERY_EFFECTIVE,$10,$c0,A fighter's dance.,Sharply raise ATK.
15,CUT,CUT,15,CutAnim,NO_ADDITIONAL_EFFECT,70,STEEL,100,25,false,SFX_NOT_VERY_EFFECTIVE,$00,$a0,Slices at the foe.,Can cut shrubs.
16,GUST,GUST,16,GustAnim,SPEED_DOWN_SIDE_EFFECT,40,FLYING,100,35,false,SFX_BATTLE_12,$00,$c0,A gust of wind.,May lower foe SPD.
17,WING_ATTACK,WING ATTACK,17,WingAttackAnim,NO_ADDITIONAL_EFFECT,60,FLYING,100,25,false,SFX_BATTLE_12,$10,$a0,Strikes foe with,spread wings.
18,ICY_WIND,ICY WIND,18,IcyWindAnim,SPEED_DOWN_SIDE_EFFECT,50,ICE,100,15,false,SFX_BATTLE_12,$00,$c0,Burst of icy wind.,May lower foe SPD.
19,FLY,FLY,19,FlyAnim,FLY_EFFECT,75,FLYING,95,15,false,SFX_NOT_VERY_EFFECTIVE,$20,$c0,Flies up high.,Strikes next turn.
20,FEINT_ATTACK,FEINT ATTACK,20,FeintAttackAnim,SWIFT_EFFECT,60,DARK,100,20,false,SFX_BATTLE_25,$00,$10,Tricks the foe.,Always hits.
21,HEAVY_SMASH,HEAVY SMASH,21,HeavySmashAnim,PARALYZE_SIDE_EFFECT2,80,STEEL,100,15,false,SFX_BATTLE_22,$00,$80,A weighty smash.,May paralyze foe.
22,VINE_WHIP,VINE WHIP,22,VineWhipAnim,NO_ADDITIONAL_EFFECT,40,GRASS,100,30,false,SFX_VINE_WHIP,$01,$80,Whips the foe with,vines.
23,ASTONISH,ASTONISH,23,AstonishAnim,FLINCH_SIDE_EFFECT1,40,GHOST,100,15,false,SFX_BATTLE_14,$00,$20,A shocking blow.,Foe may flinch.
24,DOUBLE_KICK,DOUBLE KICK,24,DoubleKickAnim,ATTACK_TWICE_EFFECT,30,FIGHTING,100,25,false,SFX_BATTLE_17,$f0,$40,Kicks the foe.,Hits twice.
25,MOONBLAST,MOONBLAST,25,MoonblastAnim,SPECIAL_DOWN_SIDE_EFFECT,95,FAIRY,100,10,false,SFX_BATTLE_28,$00,$80,Fires moon energy.,May lower foe SPC.
26,JUMP_KICK,JUMP KICK,26,JumpKickAnim,JUMP_KICK_EFFECT,65,FIGHTING,95,25,false,SFX_BATTLE_17,$00,$80,May miss kick and,hurt the user.
27,ROLLING_KICK,ROLLING KICK,27,RollingKickAnim,FLINCH_SIDE_EFFECT2,60,FIGHTING,85,15,false,SFX_BATTLE_21,$10,$80,A rolling kick.,Foe may flinch.
28,MUD_SLAP,MUD SLAP,28,MudSlapAnim,CONFUSION_SIDE_EFFECT,40,GROUND,100,25,false,SFX_BATTLE_1B,$01,$a0,Slaps with mud to,hurt the foe.
29,HEADBUTT,HEADBUTT,29,HeadbuttAnim,FLINCH_SIDE_EFFECT2,70,NORMAL,100,15,false,SFX_BATTLE_18,$00,$80,A strong headbutt,Foe may flinch.
30,HORN_ATTACK,HORN ATTACK,30,HornAttackAnim,NO_ADDITIONAL_EFFECT,40,ROCK,100,30,false,SFX_BATTLE_1E,$00,$60,A sturdy horn that,bludgeons the foe.
31,TWIN_SLICE,TWIN SLICE,31,TwinSliceAnim,ATTACK_TWICE_EFFECT,35,BUG,100,20,false,SFX_NOT_VERY_EFFECTIVE,$00,$a0,Slices the foe.,Hits twice.
32,BUG_BUZZ,BUG BUZZ,32,BugBuzzAnim,SPECIAL_DOWN_SIDE_EFFECT,90,BUG,100,10,false,SFX_BATTLE_27,$00,$80,A painful buzzing.,May lower foe SPC.
33,TACKLE,TACKLE,33,TackleAnim,NO_ADDITIONAL_EFFECT,40,NORMAL,100,35,false,SFX_SUPER_EFFECTIVE,$10,$a0,A full-body charge,attack.
34,BODY_SLAM,BODY SLAM,34,BodySlamAnim,PARALYZE_SIDE_EFFECT2,90,NORMAL,100,15,false,SFX_BATTLE_20,$00,$c0,A bodily slam.,May paralyze foe.
35,WRAP,WRAP,35,WrapAnim,TRAPPING_EFFECT,25,NORMAL,85,20,false,SFX_BATTLE_14,$10,$60,Squeezes the foe.,Lasts 2-5 turns.
36,TAKE_DOWN,TAKE DOWN,36,TakeDownAnim,RECOIL_EFFECT,120,NORMAL,100,15,false,SFX_SUPER_EFFECTIVE,$00,$a0,A bold take down.,Hurts the user.
37,THRASH,THRASH,37,ThrashAnim,THRASH_PETAL_DANCE_EFFECT,100,DRAGON,100,10,false,SFX_BATTLE_22,$11,$c0,Thrash 2-3 turns.,Confuses the user.
38,FLARE_RUSH,FLARE RUSH,38,FlareRushAnim,RECOIL_EFFECT,120,FIRE,100,15,false,SFX_BATTLE_19,$10,$a0,A blazing tackle.,Hurts the user.
39,TAIL_WHIP,TAIL WHIP,39,TailWhipAnim,DEFENSE_DOWN_SIDE_EFFECT,50,NORMAL,100,25,false,SFX_BATTLE_21,$00,$80,A hard tail swipe.,May lower foe DEF.
40,POISON_STING,POISON STING,40,PoisonStingAnim,POISON_SIDE_EFFECT1,40,POISON,100,35,false,SFX_BATTLE_1B,$00,$80,A stinging attack.,May poison foe.
41,TWINEEDLE,TWINEEDLE,41,TwineedleAnim,TWINEEDLE_EFFECT,35,BUG,100,20,false,SFX_BATTLE_1B,$20,$c0,Stabbing stingers.,May poison foe.
42,BUG_BITE,BUG-BITE,42,BugBiteAnim,NO_ADDITIONAL_EFFECT,40,BUG,100,35,false,SFX_BATTLE_19,$00,$80,A bug's biting,attack.
43,LEER,LEER,43,LeerAnim,DEFENSE_DOWN1_EFFECT,0,MYSTERY,100,30,false,SFX_BATTLE_31,$ff,$40,A menacing leer.,Lowers foe DEF.
44,BITE,BITE,44,BiteAnim,FLINCH_SIDE_EFFECT1,60,DARK,100,20,false,SFX_BATTLE_1E,$00,$80,Tough bite attack.,Foe may flinch.
45,GROWL,GROWL,45,GrowlAnim,ATTACK_DOWN1_EFFECT,0,MYSTERY,100,40,false,SFX_BATTLE_0B,$00,$c0,An adorable growl.,Lowers foe ATK.
46,FRIGHTEN,FRIGHTEN,46,FrightenAnim,SWITCH_AND_TELEPORT_EFFECT,0,MYSTERY,100,20,false,SFX_BATTLE_0B,$00,$40,Scares wild foes,into fleeing.
47,SING,SING,47,SingAnim,SLEEP_EFFECT,0,MYSTERY,75,20,false,SFX_BATTLE_35,$00,$80,Sings a lullaby.,Puts foe to sleep.
48,SWEET_CRY,SWEET CRY,48,SweetCryAnim,ATTACK_DOWN_SIDE_EFFECT,40,FAIRY,100,25,false,SFX_BATTLE_35,$00,$80,Cries disarmingly.,May lower foe ATK.
49,SONICBOOM,SONICBOOM,49,SonicBoomAnim,SPECIAL_DAMAGE_EFFECT,1,NORMAL,90,20,false,SFX_BATTLE_27,$00,$80,Sonic wave attack.,Deals 20 damage.
50,DISABLE,DISABLE,50,DisableAnim,DISABLE_EFFECT,0,MYSTERY,75,20,false,SFX_BATTLE_27,$ff,$40,Disable a foe's,move at random.
51,ACID,ACID,51,AcidAnim,BURN_SIDE_EFFECT1,50,POISON,100,30,false,SFX_BATTLE_2A,$80,$c0,Attacks with acid.,May burn foe.
52,EMBER,EMBER,52,EmberAnim,BURN_SIDE_EFFECT1,40,FIRE,100,30,false,SFX_BATTLE_19,$10,$a0,Attacks with fire.,May burn foe.
53,FLAMETHROWER,FLAMETHROWER,53,FlamethrowerAnim,BURN_SIDE_EFFECT1,95,FIRE,100,15,false,SFX_BATTLE_19,$21,$e0,Strong fire burst.,May burn foe.
54,MIST,MIST,54,MistAnim,MIST_EFFECT,0,MYSTERY,100,30,false,SFX_BATTLE_29,$00,$80,Protects user from,stat-loss moves.
55,WATER_GUN,WATER GUN,55,WaterGunAnim,NO_ADDITIONAL_EFFECT,40,WATER,100,30,false,SFX_BATTLE_24,$20,$60,Shoots water at,the foe.
56,HYDRO_PUMP,HYDRO PUMP,56,HydroPumpAnim,NO_ADDITIONAL_EFFECT,120,WATER,90,5,false,SFX_BATTLE_2A,$00,$80,A powerful blast,of water.
57,SURF,SURF,57,SurfAnim,NO_ADDITIONAL_EFFECT,90,WATER,100,15,false,SFX_BATTLE_2C,$00,$80,Hits foe with a,powerful wave.
58,ICE_BEAM,ICE BEAM,58,IceBeamAnim,FREEZE_SIDE_EFFECT,95,ICE,100,10,false,SFX_BATTLE_28,$40,$80,Fires beam of ice.,May freeze foe.
59,BLIZZARD,BLIZZARD,59,BlizzardAnim,FREEZE_SIDE_EFFECT,120,ICE,90,5,false,SFX_BATTLE_29,$f0,$e0,Bury foe in snow.,May freeze foe.
60,PSYBEAM,PSYBEAM,60,PsyBeamAnim,CONFUSION_SIDE_EFFECT,65,PSYCHIC_TYPE,100,20,false,SFX_PSYBEAM,$00,$80,Psychic ray blast.,May confuse foe.
61,BUBBLEBEAM,BUBBLEBEAM,61,BubbleBeamAnim,SPEED_DOWN_SIDE_EFFECT,65,WATER,100,20,false,SFX_BATTLE_2A,$f0,$60,Stream of bubbles.,May lower foe SPD.
62,AURORA_BEAM,AURORA BEAM,62,AuroraBeamAnim,ATTACK_DOWN_SIDE_EFFECT,60,ICE,100,20,false,SFX_BATTLE_28,$00,$80,A beautiful beam.,May lower foe ATK.
63,HYPER_BEAM,HYPER BEAM,63,HyperBeamAnim,HYPER_BEAM_EFFECT,150,NORMAL,95,5,false,SFX_BATTLE_36,$00,$80,An intense blast.,User must recover.
64,PECK,PECK,64,PeckAnim,FLINCH_SIDE_EFFECT1,40,FLYING,100,35,false,SFX_PECK,$01,$a0,Pecks with beak.,Foe may flinch.
65,DRILL_PECK,DRILL PECK,65,DrillPeckAnim,NO_ADDITIONAL_EFFECT,60,FLYING,100,20,true,SFX_BATTLE_13,$f0,$20,A powerful pecking,attack.
66,SUBMISSION,SUBMISSION,66,SubmissionAnim,RECOIL_EFFECT,120,FIGHTING,90,20,false,SFX_BATTLE_23,$01,$c0,A full-body throw.,Hurts the user.
67,LOW_KICK,LOW KICK,67,LowKickAnim,ATTACK_DOWN_SIDE_EFFECT,40,FIGHTING,90,20,false,SFX_BATTLE_23,$00,$80,A sweeping kick.,May lower foe ATK.
68,COUNTER,COUNTER,68,CounterAnim,NO_ADDITIONAL_EFFECT,1,MYSTERY,100,20,false,SFX_SUPER_EFFECTIVE,$00,$e0,Counters the foe's,last attack.
69,SEISMIC_TOSS,SEISMIC TOSS,69,SeismicTossAnim,SPECIAL_DAMAGE_EFFECT,1,FIGHTING,100,20,false,SFX_BATTLE_26,$01,$60,Deals damage equal,to user's level.
70,STRENGTH,STRENGTH,70,StrengthAnim,NO_ADDITIONAL_EFFECT,80,FIGHTING,100,15,false,SFX_BATTLE_26,$20,$40,A powerful strike.,Can move boulders.
71,ABSORB,ABSORB,71,AbsorbAnim,DRAIN_HP_EFFECT,40,GRASS,100,30,false,SFX_BATTLE_24,$00,$80,Drain's foe's HP.,Heals the user.
72,MEGA_DRAIN,MEGA DRAIN,72,MegaDrainAnim,DRAIN_HP_EFFECT,80,GRASS,100,10,false,SFX_BATTLE_24,$40,$c0,Drain's foe's HP.,Heals the user.
73,LEECH_SEED,LEECH SEED,73,LeechSeedAnim,LEECH_SEED_EFFECT,0,GRASS,90,15,false,SFX_BATTLE_1B,$03,$60,Steals HP from foe,once each turn.
74,GROWTH,GROWTH,74,GrowthAnim,SPECIAL_UP1_EFFECT,0,MYSTERY,100,40,false,SFX_BATTLE_25,$11,$e0,User's body grows.,Raise SPC.
75,RAZOR_LEAF,RAZOR LEAF,75,RazorLeafAnim,NO_ADDITIONAL_EFFECT,70,GRASS,95,25,true,SFX_BATTLE_12,$20,$e0,Sharp leaf attack.,High crit chance.
76,SOLARBEAM,SOLARBEAM,76,SolarBeamAnim,CHARGE_EFFECT,150,GRASS,100,10,false,SFX_BATTLE_2E,$00,$80,Charge solar rays,to blast the foe.
77,POISON_CLOUD,POISON CLOUD,77,PoisonCloudAnim,POISON_EFFECT,0,POISON,75,30,false,SFX_BATTLE_1C,$00,$80,A poisonous cloud.,Poisons foe.
78,STUN_CLOUD,STUN CLOUD,78,StunCloudAnim,PARALYZE_EFFECT,0,GRASS,75,30,false,SFX_BATTLE_1C,$11,$a0,A stunning cloud.,Paralyzes foe.
79,SLEEP_CLOUD,SLEEP CLOUD,79,SleepCloudAnim,SLEEP_EFFECT,0,GRASS,80,20,false,SFX_BATTLE_1C,$01,$c0,A soothing cloud.,Puts foe to sleep.
80,PETAL_DANCE,PETAL DANCE,80,PetalDanceAnim,THRASH_PETAL_DANCE_EFFECT,100,GRASS,100,20,false,SFX_BATTLE_13,$14,$c0,Dances 2-3 turns.,Confuses the user.
81,STRING_SHOT,STRING SHOT,81,StringShotAnim,PARALYZE_SIDE_EFFECT1,25,BUG,95,30,false,SFX_BATTLE_1B,$02,$a0,A string attack.,May paralyze foe.
82,DRAGON_RAGE,DRAGON RAGE,82,DragonRageAnim,SPECIAL_DAMAGE_EFFECT,1,DRAGON,100,15,false,SFX_BATTLE_29,$f0,$80,Shockwave attack.,Deals 40 damage.
83,FIRE_SPIN,FIRE SPIN,83,FireSpinAnim,TRAPPING_EFFECT,25,FIRE,75,15,false,SFX_BATTLE_29,$20,$c0,A fiery vortex.,Lasts 2-5 turns.
84,THUNDERSHOCK,THUNDERSHOCK,84,ThunderShockAnim,PARALYZE_SIDE_EFFECT1,40,ELECTRIC,100,30,false,SFX_BATTLE_2F,$00,$20,An electric jolt.,May paralyze foe.
85,THUNDERBOLT,THUNDERBOLT,85,ThunderBoltAnim,PARALYZE_SIDE_EFFECT1,95,ELECTRIC,100,15,false,SFX_BATTLE_2F,$20,$80,An electric jolt.,May paralyze foe.
86,THUNDER_WAVE,THUNDER WAVE,86,ThunderWaveAnim,PARALYZE_EFFECT,0,ELECTRIC,100,20,false,SFX_BATTLE_2E,$12,$60,Electric shock.,Paralyzes foe.
87,THUNDER,THUNDER,87,ThunderAnim,PARALYZE_SIDE_EFFECT1,120,ELECTRIC,90,5,false,SFX_BATTLE_26,$00,$80,Calls lightning.,May paralyze foe.
88,ROCK_THROW,ROCK THROW,88,RockThrowAnim,NO_ADDITIONAL_EFFECT,50,ROCK,100,25,false,SFX_BATTLE_14,$01,$e0,Tosses rocks at,the foe.
