ID,Item Name,Move Name,Location,Method,Purchase Location
TM01,TM01 MEGAPUNCH,MEGA PUNCH,Mt Moon B2F,Overworld,Celadon Mart 2F
TM02,TM02 RAZORWIND,RAZOR WIND,Rocket Hideout B4F,Overworld,Celadon Mart 2F
TM03,TM03 SW. DANCE,SWORDS DANCE,Silph Co 7F,Overworld,
TM04,TM04 HEADBUTT,HEADBUTT,Route 25,Overworld,
TM05,TM05 TELEPORT,TELEPORT,Route 9,Overworld,
TM06,TM06 TOXIC,TOXIC,Fuchsia Gym,Gym Leader,
TM07,TM07 F-PUNCH,FIRE PUNCH,Celadon Mart Roof,NPC Gift,
TM08,TM08 I-PUNCH,ICE PUNCH,Celadon Mart Roof,NPC Gift,
TM09,TM09 T-PUNCH,THUNDERPUNCH,Celadon Mart Roof,NPC Gift,
TM10,TM10 RAZORLEAF,RAZOR LEAF,Route 4,Overworld,
TM11,TM11 BUBBLBEAM,BUBBLEBEAM,Cerulean Gym,Gym Leader,
TM12,TM12 DBL KICK,DOUBLE KICK,Mt Moon 1F,Overworld,
TM13,TM13 ICE BEAM,ICE BEAM,Pokemon Mansion B1F,Overworld,
TM14,TM14 T-WAVE,THUNDER WAVE,Route 24,Overworld,
TM15,TM15 HYPERBEAM,HYPER BEAM,,,Game Corner Prize
TM16,TM16 L. SCREEN,LIGHT SCREEN,Safari Zone East,Overworld,Celadon Mart 2F
TM17,TM17 REFLECT,REFLECT,Power Plant,Overworld,Celadon Mart 2F
TM18,TM18 AGILITY,AGILITY,Power Plant,Overworld,
TM19,TM19 SUBMISSON,SUBMISSION,Victory Road 2F,Overworld,Celadon Mart 2F
TM20,TM20 CRUNCH,CRUNCH,Victory Road 1F,Overworld,
TM21,TM21 MEGADRAIN,MEGA DRAIN,Celadon Gym,Gym Leader,
TM22,TM22 SOLARBEAM,SOLARBEAM,Pokemon Mansion B1F,Overworld,
TM23,TM23 D. BREATH,DRAGONBREATH,,,Game Corner Prize
TM24,TM24 T-BOLT,THUNDERBOLT,Vermilion Gym,Gym Leader,
TM25,TM25 WATERFALL,WATERFALL,Pokemon Mansion B1F,Overworld,
TM26,TM26 E-QUAKE,EARTHQUAKE,Viridian Gym,Gym Leader,
TM27,TM27 F. ENERGY,FOCUS ENERGY,Celadon Mart 3F,NPC Gift,
TM28,TM28 DIG,DIG,Cerulean City,NPC Gift,
TM29,TM29 PSYCHIC,PSYCHIC,Mr Psychic's House,NPC Gift,
TM30,TM30 PSYWAVE,PSYWAVE,Saffron Gym,Gym Leader,
TM31,TM31 MIMIC,MIMIC,Copycat's House 2F,NPC Gift,
TM32,TM32 DBL DASH,DOUBLE DASH,Safari Zone West,Overworld,Celadon Mart 2F
TM33,TM33 SHDW TEAR,SHADOW TEAR,Victory Road 3F,Overworld,
TM34,TM34 BIDE,BIDE,Pewter Gym,Gym Leader,
TM35,TM35 FLAMETHRW,FLAMETHROWER,Cinnabar Gym,Gym Leader,
TM36,TM36 SLUDGE,SLUDGE,Silph Co 2F,NPC Gift,
TM37,TM37 BUG BUZZ,BUG BUZZ,Rocket Hideout B2F,Overworld,Celadon Mart 2F
TM38,TM38 FLARERUSH,FLARE RUSH,Rocket Hideout B3F,Overworld,
TM39,TM39 SWIFT,SWIFT,Route 12 Gate 2F,NPC Gift,
TM40,TM40 SKULLBASH,SKULL BASH,Safari Zone North,Overworld,
TM41,TM41 HYPNOSIS,HYPNOSIS,Celadon City,NPC Gift,
TM42,TM42 DRM EATER,DREAM EATER,Viridian City,NPC Gift,
TM43,TM43 V. STRIKE,VENOM STRIKE,Silph Co 10F,Overworld,
TM44,TM44 REST,REST,SS Anne B1F Rooms,Overworld,
TM45,TM45 MOONBLAST,MOONBLAST,Victory Road 2F,Overworld,Celadon Mart 2F
TM46,TM46 PAY DAY,PAY DAY,Route 12,Overworld,
TM47,TM47 HVY SMASH,HEAVY SMASH,Silph Co 5F,Overworld,Celadon Mart 2F
TM48,TM48 ROCKSLIDE,ROCK SLIDE,Mt Moon B2F,Overworld,
TM49,TM49 FURY CUT,FURY CUT,Route 15,Overworld,
TM50,TM50 SUBST.,SUBSTITUTE,SS Anne 1F Rooms,Overworld,Game Corner Prize
TM51,TM51 METRONOME,METRONOME,Cinnabar Lab Metronome Room,NPC Gift,
HM01,HM01 CUT,CUT,SS Anne Captain's Room,NPC Gift,
HM02,HM02 FLY,FLY,Route 16 Fly House,NPC Gift,
HM03,HM03 SURF,SURF,Safari Zone Secret House,NPC Gift,
HM04,HM04 STRENGTH,STRENGTH,Warden's House,NPC Gift,
HM05,HM05 FLASH,FLASH,Route 2 Gate,NPC Gift,
